No,Name_of_Company,Address,Phone,Industry
218.,"ADEI PLANTATION & INDUSTRY MKCP, PT","Jl. Raya Pekanbaru-duri Km 101, Simp Intan Muara Basung, Bengkalis, Riau",0765-91711,Palm Kernel Oil
219.,"ADEI PLANTATION AND INDUSTRY, PT","Kebun Nilo, Pelalawan, Riau",0761-571885,Cpo
220.,"ADEI PLANTATION AND INDUSTRY, PT","Jl. Raya Pekanbaru-duri Km 101, Simp Intan, Bengkalis, Riau",0765-91867,Cpo
221.,"ADEI PLANTATION AND INDUSTRY, PT","Jl. Raya Pekanbaru Duri Km 112, Bengkalis, Riau","0765-92335, 0761-571",Crumb Rubber
222.,ADEK DERMAWAN,"Jl Imam Bonjol, Batu Bara, Sumatera Utara",0623-451588,Kain Songket Batu Bara
223.,"ADEKA ,  PT","Jl. Tirto Samodro Km 3, Jepara, Jawa Tengah",0291-597889,Mebel
224.,ADELA,"Kemlaten Xi/3, Jl, Surabaya, Jawa Timur",7661322,Pakaian Anak-anak
225.,"ADEM AYEM, UD/PP","Raya Jember No.1, Jl;  Dsn Krajan, Banyuwangi, Jawa Timur","(0333)631207,635019",Beras Biasa Giling
226.,"ADENAN, H TENUN SARUNG","Dampaan,ds, Gresik, Jawa Timur",7991671,Sarung
227.,"ADETEX, PT","Randusari, Boyolali, Jawa Tengah",0276-321387,Benang Pintal
228.,ADHA JAYA CHEMICAL,"Kamal Raya, Jakarta Barat, DKI Jakarta",021-5550035,Cat
229.,ADHAN,"Dusun Bagiq Gaet, Lombok Timur, Nusa Tenggara Barat",,Tembakau Rajangan
230.,"ADHI BANDONO LESTARI, PT","Jl. Raya Pait Km 9,5, Pekalongan, Jawa Tengah",0285-425425,Kain Batik Printing
231.,"ADHI CANDRA/ ABADI CANDRA JAYA, PT","Jl. Gatot Subroto Km.4, Tangerang, Banten",021 5517928,Spare Part Otomotive
232.,"ADHI CHANDRA DWI UTAMA, PT","Jl Kiara Condong No 42, Bandung, Jawa Barat",0227275416,Label Pakaian Hang Tag
233.,"ADHI KARAYA, PT","Desa Pematang Seleng, Labuhan Batu, Sumatera Utara",,Batu Pecah
234.,"ADHI KARYA, PT","Desa Telaga Asih, Bekasi, Jawa Barat",,Beton Cair
235.,ADHI SENTOSA,"Jl. P Antasari Km 1 No 33, Cirebon, Jawa Barat",0231230789,Rattan Furniture
236.,"ADHI WANA NUSANTARA, PT","Ds Sumber Wono, Mojokerto, Jawa Timur",328722,Kayu Jati
237.,"ADHI WIJAYA CITRA, PT","Jl Raya Narogong Km 13 Pkl I B, Bekasi, Jawa Barat",021-8250756-57,Spartpart Motor
238.,"ADHIGUNA MULTI PLANEXTRAK, PT","Sumbersuko, Ds, Pasuruan, Jawa Timur",631846,Saos Rokok
239.,"ADHITAMA GRAHAMAS, PT","Tambak Langon Indah I/32,jl, Surabaya, Jawa Timur",7496961,Kaca Rakitan
240.,"ADHITYA ANDREBINA AGUNG, PT","Johar Baru Utara Iii/8, Jakarta Pusat, DKI Jakarta",021-4209225,Percetakan
241.,"ADI ASA, CV","Panglima Sudirman 50, Jl, Jombang, Jawa Timur",862302,Bunga & Boneka Plastik
242.,ADI BUNGSU,"Lesanpuro  Viii/01jl, Malang, Jawa Timur",711206,Rokok Kretek
243.,"ADI CANDRA DWI UTAMA, PT","Jl Kiara Condong No.42        Kel Kebonwaru,, Bandung, Jawa Barat",7275416,Percetaka Label Pakaian
244.,"ADI CHANDRA JAYA, PT","Jl.prabu Kian Santang No.89, Tangerang, Banten",021-5538547,Engsel & Boss &jasa Bubut
245.,"ADI CIPTA, UD","Jl. Raya Baureno, Bojonegoro, Jawa Timur",0322 453536,Tembakau Sortir
246.,"ADI CITA KARYA NUSA, PT","Jl. Sisingamangaraja No. 27, Yogyakarta, D.I. Yogyakarta",0274- 379250,Percetakan Buku
247.,"ADI CITRA BHIRAWA, PT","Jl Siwalankerto Iii-a/21      Telp 819659, Surabaya, Jawa Timur",,Karoseri Mobil
248.,ADI DARMA,"Blok Leuwi Liang Ds Sukawera, Majalengka, Jawa Barat",,Genteng Dari Tanah Liat
249.,ADI FURNITURE,"Jl. Sumpah Pemuda Rt. 01/32, Surakarta, Jawa Tengah",0271-853087,Mebel Jati
250.,"ADI GRAFIKA, CV","Jl.padi Raya No.9, Semarang, Jawa Tengah","024-6580752, 6584336",Percetakan
251.,ADI GUNA UTAMA.CV,"Dsn.watesumpak, Mojokerto, Jawa Timur",0321 490469,Kayu Olahan
252.,"ADI HIDAYAH,CV","Dusun Kayu Manis Legok Rt.13/04, Kuningan, Jawa Barat",,Kayu Palet
253.,"ADI JAYA GUNA SATWATAMA, PT","Jl.mundu Pesisir No.33, Cirebon, Jawa Barat",510458,Udang Beku
254.,ADI JAYA ROTAN,"Imam Bonjol.jl, Batu, Jawa Timur",081233055705,"Meja ,  Kursi ,basket Rotan"
255.,"ADI JAYA [ A J ], PB","Blok Sukamulya Ds Karang Sinom, Indramayu, Jawa Barat",081324181750,Beras
256.,ADI JEMBATAN BATU,"Dsn. Cerme Rt04/02.ds.gamping, Tulungagung, Jawa Timur",531377,Aseksoris Rumah
257.,"ADI KENCANA MAHKOTA BUANA, PT","Jl. Raya Solo Sragen Km 13,5, Karanganyar, Jawa Tengah",0271-827272,Pemintalan Benang
258.,"ADI KHARISMA, PT","Dk Randusari, Boyolali, Jawa Tengah",,Karung Plastik
259.,"ADI LUHUNG SARANA SEGARA IND, PT","Kabupaten .jl Ds.ujungpiring, Bangkalan, Jawa Timur",3097040,Kapal Dan Reparasi Kapal
260.,"ADI MULIA AGROLESTARI, PT","Suka Maju, Kuantan Singingi, Riau",,Crude Palm Oil
261.,ADI PERKASA DWISAKTI.PT,"Raya Beji Km.4.jl, Pasuruan, Jawa Timur",,Clyder Making
262.,"ADI PRADANA,  CV","Jl Ky Adwan Suwawal Timur Rt.02/05, Jepara, Jawa Tengah",,Mebel
263.,"ADI PRADANA, CV","Jl Cikupa Mas No 8b Km 16,8, Tangerang, Banten",021 59400572,Sol Sepatu
264.,"ADI PRIMA SURAPRINTA, PT","Sumengko, Ds, Gresik, Jawa Timur",8973588,Kertas Koran
265.,ADI PUTRA TEX/ABUBAKAR,"Jl Kyai Mojo  No. I02  Rt.02/12, Surakarta, Jawa Tengah",0271-654673,Pemutian
266.,"ADI SAMPOERNA, PT","Ki Ronggo No. 61, Jl, Bondowoso, Jawa Timur",0332 - 424234,Tembakau Krosok
267.,"ADI SAMPURNA EDI SUSANTO, PT","Jl. Raya Baureno, Bojonegoro, Jawa Timur",0322 451464,Tembakau Krosok
268.,"ADI SAMPURNA, PT","Sembung ,ds, Jombang, Jawa Timur",866483,Tembakau Kering
269.,ADI SAPUTRA UCP,"Kedung Cowek 177, Jl, Surabaya, Jawa Timur",3712762,Mur-baut
270.,"ADI SATRIA ABADI, PT","Banyakan Sitimulyo, Bantul, D.I. Yogyakarta",0274-489572,Kulit Lembaran Kulit Penyamaka
271.,"ADI SATRIA ABADI, PT","Sidokerto, Rt 03, Rw 01, Sleman, D.I. Yogyakarta",0274-496662,Sarung Tangan Golf Dari Kulit
272.,ADI SUSILO,"Jln. My. Ssutoyo, Binjai, Sumatera Utara",085261016094,Keranjang
273.,"ADI TARSIMAN,HULLER/H WARYA HULLER","Jl, Raya Cilandak Rt 22/04 Ds Cilandak Lor, Indramayu, Jawa Barat",-,Beras
274.,ADI WIJAYA / SUMBER JAYA,"Jhl Rangau Utara No.1 Rt01 Rw01 Ds.rangdu, Subang, Jawa Barat",,Beras Ketan
275.,"ADI WISESA MANDIRI, PT","Desa Telajung Udik Kp Kedep, Bogor, Jawa Barat",8670501,Perekat Keramik
276.,ADIA TIRTA,"Jl. Rm.said No.204, Surakarta, Jawa Tengah",0271-714043,Sirup
277.,ADIANATA ARTHA KREASI,"Jlmaleber 528/187, Bandung, Jawa Barat",0226033479,Pakaian Dewasa
278.,"ADIDIE, IND TEMBAKAU TABUNG","Libukang, Soppeng, Sulawesi Selatan",,Tembakau Tabung
279.,"ADIGUNA SHIPYARD/ADIGUNA SHIPBUILDING,PT","Sindang Laut No.100, Jakarta Utara, DKI Jakarta",4301307,Kapal
280.,"ADIJAYA,PT","Jl.raya Klari No.45, Karawang, Jawa Barat",,Amplop
281.,"ADIKA PUTRA PERDANA, UD","Ds Sidomukti  Rt 1/4, Pati, Jawa Tengah",,Tepung Tapioka
282.,"ADIKAMOLEK JAYA PERKASA, PT","Jl Kalianak Barat 55, Surabaya, Jawa Timur",7490186,Panel
283.,ADIKARYA SURYA TAMA,"Jl Babakan Ciparay No 48, Bandung, Jawa Barat",0226018842,Kantong Plastik
284.,"ADIL MAKMUR FAJAR (AMCO), PT","Jl Industri Raya No. 1 Km 21 Desa Budi Mulya, Tangerang, Banten",021-5963470,Pemberantas Hama
285.,"ADIL MAKMUR, CV","Wonorejo, Ds, Lumajang, Jawa Timur",0334881352,Beras
286.,"ADIL, FA","Teratai  Km 3.jllabruk Lor, Lumajang, Jawa Timur",0334888569,"Kulit Domba,kambing,sapi"
287.,"ADILIMAN MAKMUR, PT","Ds Tlajung Udik, Bogor, Jawa Barat",8670985,Tali Kipas
288.,ADIMAS,"Jl Raya Pandan Landung 44, Malang, Jawa Timur","0341 582436, 582437,",Asbes Gelombang
289.,"ADIMAS PUSPITA SERASI, PT","Jl Berlian Rt 04 Rw 05  Desa Curug, Bogor, Jawa Barat",0251-600939,Furniture
290.,"ADIMIX, PT","Raya Orchid No.1 Tanjung Duren, Jakarta Barat, DKI Jakarta",021-56942974,Beton Cor
291.,"ADIMULIA SARIMAS INDUSTRI, PT","Jl. Pelita Raya No. 9 Kim Star, Deli Serdang, Sumatera Utara",061-7945910,Sabun Mandi
292.,"ADINAGA SINDO JAYA, PT","Jl. Tuanku Tambusai No. 193, Pekanbaru, Riau",0761-64733,Tangki Air Dan Bak Air Fiber
293.,"ADINATA FANCY LESTRAI, PT","Lippo Cikarang Deltas Kav.a 5-6, Bekasi, Jawa Barat",,Stationary
294.,"ADINATA, UD","Jl. Dirgantara Kel. Mangalli, Gowa, Sulawesi Selatan",883342,Kecap
295.,"ADINUSA DIAN MANGGALINDO, PT","Jl. Bali No. 10, Tegal, Jawa Tengah",0283-321367,Tepung Ikan
296.,ADIPUTRO WIRASEJATI,"Balearjosari 35, Malang, Jawa Timur",0341-491139,Karoseri
297.,"ADIRA SEMESTA INDONESIA, PT","Jl.parakan Muncang No.53, Sumedang, Jawa Barat",7911835,Kulit
298.,"ADIRA SEMESTA INDUSTRI, PT","Komplek Jantrano 8, Bandung, Jawa Barat",,Sarung Tangan Golf
299.,"ADIS DIMENSION FOOTWEAR, PT/MITRA CORP","Jl Raya Serang Km 24, Tangerang, Banten",021-5951660-3,Sepatu Olah Raga
300.,ADISARI,"Jl, Kalijaga No.107 Ds.pegambiran, Cirebon, Jawa Barat",0231-206159,So'un
301.,"ADITAMA RAYA FARMINDO, PT","Rungkut Industri 2/45 C, Jl, Surabaya, Jawa Timur",8412522,Obat/ Farmasi
302.,"ADITAMA SUKSES JAYA, PT","Jl.intan I Rt.2/3, Bogor, Jawa Barat",0251-615872,Garment
303.,ADITAMARAYA FARMINDO.PT,"Rungkut Industri Ii/45 C, Surabaya, Jawa Timur",,Obat/infus
304.,"ADITEC CAKRAWIYASA, PT","Jl.raya Oronom G-22/24, Tangerang, Banten",021-5960231-3,Kompor Gas
305.,"ADITYA COLLECTION, CV","Jl Kh Hasyim Ashari 83 Gg Masjid Rt 03/22 No 83, Tangerang, Banten",021 5549136,Pakaian Jadi
306.,"ADITYA MANDIRI, UD","Desa Batursari, Pati, Jawa Tengah",08122911340,Garam Halus
307.,"ADITYA MEDIA, CV","Jl. Bima Skati No.19, Yogyakarta, D.I. Yogyakarta",0274-520612,Barang-barang Cetakan
308.,"ADIWARNA PELANGI, PT","Jetis, Karanganyar, Jawa Tengah",0271-825034,Percetakan
309.,"ADIWRAKSA ATYANTA, PT","Dk. Ngarak Arak Rt 10/02, Sukoharjo, Jawa Tengah",0271-620008,Furniture
310.,"ADIYASA WORKSHOP, CV","Jl Raya Tapos No 38b Kranji Rt 01 Rw 10, Bogor, Jawa Barat",021 8760518,Komponen Furniture Dr Plat Bsi
311.,"ADIYASA, CV","Kp. Patahunan Rt. 1/11, Bogor, Jawa Barat",0251-732387,Nampan
312.,"ADJI BUSANA TEXTILE, PT","Ds. Gunung Gangsir, Pasuruan, Jawa Timur",0343658588,T.shirt
313.,ADJIN BORDIR,"Budi Mulia Rt 003/10 No.5, Jakarta Utara, DKI Jakarta",021-6404307,Bordir Baju
314.,ADL JEMBER/ABIMANYU JAYA,"Durenan, Jember, Jawa Timur",0331 758634,Makroni
315.,"ADLER, CV","Jl.kp.bitung No.183, Tangerang, Banten",021-5986179,Furniture
316.,"ADM COCOA, PT","Jl Kima 8 Kav Bb-1, Makassar, Sulawesi Selatan",,Biji Coklat Kering
317.,ADMA JATI SUTAWI,"Ds Plajan  Rt,30/05, Jepara, Jawa Tengah",0291-3335406,Meja
318.,ADMIRALINDO BINTANG TERANG,"Jl Industri Iv No .11, Kota Cimahi, Jawa Barat",022-6035649,Kain Jok
319.,"ADO INTERNASIONAL, PT","Jl.cibeurem Wantilan, Subang, Jawa Barat",0260-490038/58,Gordyn Dan Vitrage
320.,ADONAE,"Julius Usman 39 .jl, Malang, Jawa Timur",367888,Konveksi Kemeja Pria
321.,"ADVANCED PACKAGING SOLUTION, PT","Kompelk Sarana Industrial Point Blok A No.8, B A T A M, Kepulauan Riau",0778-471091,Tray Plastic
322.,ADYA BOGA PRANATA INDUSTRIES,"Jl Pasar Kemis No.6 Kp Cilongok Rt 01/04, Tangerang, Banten",021-5903904,Kue Kering
323.,"ADYA BUANA PERSADA, PT","Raya Wringinanom Km 32, Gresik, Jawa Timur",031- 8971083,Keramik Lantai
324.,ADYA MEGA ART/  CV. AMARTHA ROMA,"Watu Geduk, Guwosari, Bantul, D.I. Yogyakarta",0274-7101477,Patung Dr Pasir & Semen
325.,"ADYATAMA RATANGGA KARTIJASA, PT","Jl Arya Kemuning, Tangerang, Banten",021 5526930,"Filing Cabinet, Clipboard"
326.,"ADYAWINSA DINAMIKA, PT","Jababeka Iv Blok V No 81b 170, Bekasi, Jawa Barat",8936001,Mesin/komponen Otomotif
327.,"ADYAWINSA STAMPING INDUSTRIES, PT","Jl Suroto Kunto No 109, Karawang, Jawa Barat",0267-404555,Komponen Kendaraan Bermotor
328.,"AEC BERSAUDARA, PT","Kampung Baru Kuala Enok, Indragiri Hilir, Riau",0768-328755,Minyak Kelapa
329.,"AEK TARUM, PT","Desa Sungai Belida, Ogan Komering Ilir, Sumatera Selatan",,Cpo
330.,AEP,"Kp Cisereh, Bandung, Jawa Barat",,Kerudung
331.,"AES PROMOTION, UD","Jl. Binjai Km. 12 Komp. Dpr Bima Iii, Deli Serdang, Sumatera Utara",061-8451478,Tas Dan Dompet
332.,AFANDI,"Gedang Kulut  Ds, Gresik, Jawa Timur",,Sarung Kembang
333.,"AFANTEX, CV","Jl. Solo-sragen Km 9,6, Karanganyar, Jawa Tengah",0271-821900,Kain Grey
334.,AFEN KONFEKSI,"Terusan Bandengan  Blok 8/5   7, Jakarta Utara, DKI Jakarta",021-6696657,Konfeksi
335.,"AFFI, PT","Desa Kanci Kulon, Cirebon, Jawa Barat",0231-510058,Udang Beku
336.,"AFI FARMA, PT","Mauni 39, Jl, Kediri, Jawa Timur",683775,Obat
337.,"AFIAT INDUSTRI PHARMASI, PT","Jl. Leuwigajah No. 138, Kota Cimahi, Jawa Barat",022-652368,Obat2an
338.,"AFIDOGIO, PT","Jl. Tanjoayu No. 47, Sukabumi, Jawa Barat",0266-731244,Stiker Motor
339.,"AFIDOGIO, PT","Jl. Tanjoayu No. 47, Sukabumi, Jawa Barat",0266-731244,Stiker Motor
340.,AFIXKOGYO,"Ds Tenjoayu /jl Tenjo Aju 47, Sukabumi, Jawa Barat",0266-731255,Stiker
341.,AFNAN,"Ngering, Dsn, Gresik, Jawa Timur",7990756,Sarung Kembang
342.,AFRESH INDONESIA,"Jl. Wigo No 08 Kasang, Muaro Jambi, Jambi",0741-7078811,Air Minum Dalam Kemasan
343.,"AFRO PACIFIC INDAH STEEL, PT","Jl Kaliabang Tengah Kel Harapan Jaya Tlp4604240, Bekasi, Jawa Barat",,Pemotongan Plat Baja Lembaran
344.,"AFTON MEUBEL, UD","Raya Wongsorejo No.32, Jl  ;ds Wongsorejo, Banyuwangi, Jawa Timur",(0333)461906,Furniture/perabot Dr Kayu Jati
345.,AFUY BORDIR,"Pademangan Iii Gg.20 No.274, Jakarta Utara, DKI Jakarta",021-6407540,Bordir
346.,"AG USAHA, PD","Jl Sukamulya Indah Dalam No 76 Rt 03/04, Bandung, Jawa Barat",022-2000397,Boneka
347.,"AGA, AMDK(INTAN MULIA,CV))","Gunungasri, Dsn, Banyuwangi, Jawa Timur","(0333)822419,7709234",Amdk/air Mineral Dalam Kemasan
348.,AGAM SAKTI,"Bentengan Mas Iii Rt.10/6 No.3, Jakarta Utara, DKI Jakarta",081310083799,Pakaian Jadi
349.,AGAPE CRAFT,"Kp Palalangon, Cianjur, Jawa Barat",,Badcover
350.,"AGAR JAYA, UD","Jln. Yos Sudarso No. 7, Mataram, Nusa Tenggara Barat",0370 621280,Tembakau Susur
351.,AGAR SARIJAYA.CV,"Dsn.klojen Rt.01./rw.17 Ds.martopuro, Pasuruan, Jawa Timur",0343 614086,Agar - Agar
352.,AGAR SEHAT MAKMUR LESTARI,"Raya Bakalan Rt.9/3, Pasuruan, Jawa Timur",0343 612408,Agar Agar
353.,"AGARICUS SIDO MAKMUR SENTOSA, CV","Inspektur Polisi Soewoto 6a, Jl, Malang, Jawa Timur",0341422647,Jamur & Herbal
354.,"AGARINDO BOGATAMA, PT","Desa Sukamantri, Tangerang, Banten",021-5903514,Ager
355.,AGASHA BORDIR,"Babakan Pala, Kota Tasikmalaya, Jawa Barat",,Mukena
356.,AGB ICE 7 FISHERIES,"Dermaga Barujl.kav I Muara Angke, Jakarta Utara, DKI Jakarta",021 66691798,Es Balok
357.,"AGEL LANGGENG, PT","Jl Raya Sultan Agung Km.27 Desa Medan Satria, Bekasi, Jawa Barat",4605666/ 8854456,Kembang Gula
358.,AGIL,"Ds Ngembe, Pasuruan, Jawa Timur",,Sprey
359.,"AGILO MAKMUR PERKASA, UD","Taman Jimbaran A 3 Jl, Badung, Bali",0361709573,Roti
360.,"AGIP LUBRINDO PRATAMA, PT","Raya Kebonsari Legok, Jl, Pasuruan, Jawa Timur",853308,Daur Ulang Olie
361.,AGNI PRIMA/INTERNUSA,"Agung Perkasa 9 No.25k2, Jakarta Utara, DKI Jakarta",021-6511777,"Label Stiker, Poster"
362.,"AGR INDONESIA, PT","Desa Bandengan Rt. 08/iii, Jepara, Jawa Tengah",0291-4296609,Mebel
363.,"AGRA KENCANA GITA CEMERLANG, PT","Banaran, No.27 Rt 04/07, Karanganyar, Jawa Tengah",0271-825777,Sprei Kain
364.,"AGRA SUKSES ABADI, PT","Jl. Solo-sragen Km 12, Karanganyar, Jawa Tengah",0271-826007,Penyamakan Kulit
365.,"AGRALESTA KARUNIA, PT","Kalijaga  Suci No.77 Desa Mun Du Pesisir Tlp.209872, Cirebon, Jawa Barat",0231-510666,Sumpit
366.,"AGRAWIRA TIRTA, PT","Jl.cidahu Kp Babakan Pari, Sukabumi, Jawa Barat",0266-731872,Air Mineral
367.,"AGRI ANDALAS, PT","Pasar Ngalam Desa Dermayu, Seluma, Bengkulu",,Cpo
368.,"AGRI HALBA, PT","Ds. Sawaran Kulon, Lumajang, Jawa Timur",0334442155,"Karet Sheet, Kopi"
369.,"AGRI MITRA UTAMA PERSADA, PT","Desa Tarok Kepala Hilalang-sicincin Jl Raya Pdg-bkt Km 51, Padang Pariaman, Sumatera Barat",(0751)676677,Air Minum Dalam Kemasan
370.,"AGRIC AMARGA JAYA, PT","Jl.hasanudin No. 115, Salatiga, Jawa Tengah",0298-323125,Rokok Kretek
371.,AGRICON,"Jl Siliwangi 68, Bogor, Jawa Barat",8672344,Pestisida Pertanian
372.,"AGRIJOYO INDOTIRTA, PT","Jl. Abd. Saleh 15, Malang, Jawa Timur",791339,Kripik Nangka
373.,AGRINDO BOGASANTIKA,"Kajen Delangan, Klaten, Jawa Tengah",,Asinan Timun
374.,"AGRINDO INDAH PERSADA, PT","Bp Mandoge, Asahan, Sumatera Utara",,Cpo
375.,"AGRINDO MAJU LESTARI, PT","Jl. Raya Serang Km. 18,8 Kws Ind Bonen Purati Kencana Kav 9, Tangerang, Banten",021 5960777,Alat-alat Pertanian
376.,"AGRINDO, PT","Bambe, Ds, Gresik, Jawa Timur",7507097,Mesin Pemroses Padi
377.,"AGRO BINTANG DHARMA NUSANTARA, PT","Pekasan Rt 03 Rw 02 Desa Modang Kec. Kuaro, Paser, Kalimantan Timur",0543-2708165,Cpo
378.,"AGRO GREEN UP, PT","Gununggangsir Randupitu, Jl, Pasuruan, Jawa Timur",0343 631787,Npk 8; 10; 6
379.,"AGRO INDOMAS, PT","Ds. Terawan, Seruyan, Kalimantan Tengah",,Cpo Dan Kernel
380.,"AGRO JAYA PERDANA, PT","Jl Yos Sudarso Km 15,5 Medan, Medan, Sumatera Utara","061-6850688,6850204",Palm Kernel Oil
381.,"AGRO MAKMUR RAYA, PT","Jl. Soekarno No.1, Bitung, Sulawesi Utara",0438-36716,Minyak Makan
382.,AGRO MANDIRI,"Rahayu 6, Jl, Batu, Jawa Timur",0341 7789389,Kripik Apelk
383.,AGRO MITRA MADANI,"Jln Raya Wks Km 11, Tanjung Jabung Barat, Jambi",0741-27760,Cpo
384.,"AGRO RADEN, PD","Jl. Kedung Jaya, Cirebon, Jawa Barat",0231-4863344,Teh Wangi
385.,"AGRO RUBBER IND/SANLATEX SUMATERA, PT","Jl. Besar Hessa Perlompongan, Asahan, Sumatera Utara",061-4530188,Sir
386.,"AGRO TEA BUKIT DAUN, PT","Desa Sentral Baru Bukit Daun, Rejang Lebong, Bengkulu",(0732) 7003037,Pengolahan Teh Hijau
387.,AGROINDO INDAH PERKASA,"Jl. Lintas Sumatera Km 13, Merangin, Jambi",,Minyak Goreng Curah
388.,"AGRONESIA D IV  ES SARIPETOJO, PT","Jl Ciwaringin Ii/14, Bogor, Jawa Barat",0251-324557,Es Batu
389.,AGRONESIA SARIPETOJO,"Jl Jend.sudirman No 2 Kel Benteng, Sukabumi, Jawa Barat",222562,Es Batu
390.,"AGRONESIA UNITSARI PETOJO, PT","Jl Kesepuhan No 6  Kel Lemah Wungkuk, Cirebon, Jawa Barat",0231-204164,Es Batu
391.,"AGRONESIA, PT","Jl. Tangkuban Perahu No.138-135, Bandung Barat, Jawa Barat",0222788111,Air Minum Dalam Kemasan
392.,"AGROSARI SENTANA PRIMA, PT","Desa Marindal I Dsn.xii, Deli Serdang, Sumatera Utara","061-7030643, 565440",Buah Dalam Kaleng
393.,"AGROWIRATAMA, PT","Sei. Aur, Pasaman Barat, Pasaman Barat, Sumatera Barat",-,Cpo
394.,"AGROWIS KALINDO, PT","Raya Jember, Jl, Banyuwangi, Jawa Timur",(0333)897305,Kotak Buah & Mozaic
395.,AGS TEX/PERT AGUS SUDIANA,"Jl.raya Oma Aw No.37, Bandung, Jawa Barat",5951934,Kain Sarung
396.,"AGUAMOR WAI-KAHINGIRU, PT","Desa Mbatakapidu Km7 Waingapu, Sumba Timur, Nusa Tenggara Timur",0387-62567,Air Minum Dalam Kemasan
397.,AGUNG,"Supriadi 52 Ngoro, Jl, Jombang, Jawa Timur",710688,Temulawak
398.,AGUNG,"Jl Raya Mastrip 47, Surabaya, Jawa Timur",7661534,Jerigen Plastik
399.,"AGUNG BERKAT BINTATAR ABADI, PT","Jl. Binjai Km 12/jl. Bangun   Mulia Dusun Vii, Deli Serdang, Sumatera Utara",061-8453075,Pengolahan Kayu
400.,"AGUNG BUSANA JAYA, PT","Kawasan Mm 2100, Bekasi, Jawa Barat",,Pakaian Jadi
401.,"AGUNG CEMERLANG ABADI, CV","Komp Sadang Industri, Bandung, Jawa Barat",,Kimia
402.,"AGUNG DIAN EKATAMA, PT","Jl. Dipati Yunus Km.3 Kp. Cibodas, Tangerang, Banten",021-5524750,Pakaian Jadi
403.,AGUNG JAYA,"Jl.cijagra No.81, Bandung, Jawa Barat",021-5896498,Sablon Kaos
404.,"AGUNG JAYA, CV","Jl Raya Cikalong Ds Sindanglaya Karangtengah, Cianjur, Jawa Barat",0263-261691,Crumb Rubber
405.,"AGUNG JAYA, CV","Jl Raya Tegal Sari, Cirebon, Jawa Barat",,Furniture Rotan
406.,"AGUNG JAYA, PT","Jl. Kompos/sentosa No.17, Deli Serdang, Sumatera Utara",8451839-8451828,Pipa Kembang
407.,"AGUNG JAYASARI SAKTI, PT","Desa Tanjung Seteko No.12 Km.29, Indralaya, Ogan Ilir, Sumatera Selatan",(0711) 580328,Paha Kodok Beku
408.,"AGUNG KEMUNINGWIJAYA, PT","Jl Taman Kopo  Indah I No 6 Bandung, Bandung, Jawa Barat",022 - 5401972,Sol Sepatu Tpr Dan Pvc
409.,AGUNG KHARISMA JAYA ABADI,"Margomulyo Indah Kav.19 No.10, Surabaya, Jawa Timur",7481020,Kayu
410.,"AGUNG KREASI UTAMA, PT","Jl. Sukasari No.8, Kota Tasikmalaya, Jawa Barat",0265-346588,Kemeja Pria
411.,AGUNG KUNCOROTEX,"Jl. Raya Palur Solo-sragen Km. 9,1, Karanganyar, Jawa Tengah",0271-825233,Kain Tenun
412.,"AGUNG MAKMUR, CV","Jl.h.abdurahman No 38 Rt 002/14, Jakarta Timur, DKI Jakarta",021-87756269,Percetakan
413.,"AGUNG MEGAH PERKASA, UD","Jl. Taman Pancing Kampung Islam, Denpasar, Bali",0361-485399,Rambut Palsu
414.,"AGUNG MENANG, CV","Desa Sungai Jauh, Musi Rawas, Sumatera Selatan","(0733) 25918,22345",Papan
415.,AGUNG MEUBEUL,"Kp Pareang Rt 02 Rw 03, Cianjur, Jawa Barat",,Kursi Jari Jari
416.,"AGUNG MULYO, PT","Ds Agung Mulyo Rt 03/01, Pati, Jawa Tengah",08139580016,Garam Briket
417.,AGUNG PENGGERGAJIAN KAYU,"Jl. Diponegoro, Klaten, Jawa Tengah",0272-321393,Mebel
418.,"AGUNG PLASINDO, CV","Jl Arak Arak Pinggir, Sukoharjo, Jawa Tengah",0271-624266,"Rafia,sedotan"
419.,AGUNG PLASTIK,"Jl. Mangga Ubi Ii No. 99, Jakarta Barat, DKI Jakarta",021-6194911,Perabot Dari Plastik
420.,AGUNG PLASTIK,"Rt.04 Rw.02 Grogol,dsn, Lamongan, Jawa Timur",081331061669,Daur Ulang Palstik
421.,AGUNG PLASTIK,"Kedurus Raya 47 L, Jl, Surabaya, Jawa Timur",7661534,Gentong & Diregen
422.,"AGUNG POLY NUGRAHA, PT","Jl. Raya Serang Km. 12,5, Tangerang, Banten",021-5961158,Kulit Imitasi
423.,AGUNG RAYA SENTOSA (ARS),"Kp. Ranca Kentang Rt. 02/09, Bandung, Jawa Barat",022-5957819,Kain Grey
424.,AGUNG REJEKI MEBEL,"Dk Sortanan  Rt.08/iv, Klaten, Jawa Tengah",0271-598413,Mebel
425.,AGUNG ROTAN,"Jl Nyi Mas Wanawati, Cirebon, Jawa Barat",0231322347,"Kursi, Meja"
426.,AGUNG SANJAYA,"Jl Cilampeni Rt01/iii No.15 A, Bandung, Jawa Barat",5801278,Sol Sepatu
427.,"AGUNG SAPUTRATEX , PT","Somokaton, Bantul, D.I. Yogyakarta",-,Kain Grey
428.,AGUNG SARI/GUMILANG SARI,"Sidoharjo   Rt.05/1, Pati, Jawa Tengah",0295-385135,Bakpia
